"water_year","Long_term","Region","Season","sr_BPUE"
2009,TRUE,"Suisun Bay","Fall",5086.88579679112
2009,TRUE,"Suisun Bay","Spring",4835.84103487823
2009,TRUE,"Suisun Bay","Summer",9118.64245936904
2009,TRUE,"Suisun Marsh","Fall",4033.19172600628
2009,TRUE,"Suisun Marsh","Spring",2102.52097602566
2009,TRUE,"Suisun Marsh","Summer",4574.80706768528
2010,TRUE,"Confluence","Fall",8174.81231736295
2010,TRUE,"Confluence","Spring",1019.05348504355
2010,TRUE,"Confluence","Summer",10865.6737428878
2010,TRUE,"SouthCentral","Fall",15226.6575006087
2010,TRUE,"SouthCentral","Spring",3863.25165897456
2010,TRUE,"SouthCentral","Summer",18838.5638516656
2010,TRUE,"Suisun Bay","Fall",5924.35231969427
2010,TRUE,"Suisun Bay","Spring",3439.46250261498
2010,TRUE,"Suisun Bay","Summer",13556.4855276257
2010,TRUE,"Suisun Marsh","Fall",3824.57421599726
2010,TRUE,"Suisun Marsh","Spring",1463.75792125134
2010,TRUE,"Suisun Marsh","Summer",7599.79297647675
2011,TRUE,"Confluence","Fall",7375.41303135051
2011,TRUE,"Confluence","Spring",896.971863435035
2011,TRUE,"Confluence","Summer",8875.50122614381
2011,TRUE,"SouthCentral","Fall",1336.83815666667
2011,TRUE,"SouthCentral","Spring",820.008728300265
2011,TRUE,"SouthCentral","Summer",3821.54610551712
2011,TRUE,"Suisun Bay","Fall",8030.43213063752
2011,TRUE,"Suisun Bay","Spring",5529.23014322612
2011,TRUE,"Suisun Bay","Summer",14753.1948893975
2011,TRUE,"Suisun Marsh","Fall",5737.3377663246
2011,TRUE,"Suisun Marsh","Spring",2627.42168063607
2011,TRUE,"Suisun Marsh","Summer",7519.42547235832
2012,TRUE,"Confluence","Fall",9743.59372497699
2012,TRUE,"Confluence","Spring",2363.20045867846
2012,TRUE,"Confluence","Summer",10501.3517154702
2012,TRUE,"SouthCentral","Fall",17339.47431
2012,TRUE,"SouthCentral","Spring",3711.67560076366
2012,TRUE,"SouthCentral","Summer",12024.3921308179
2012,TRUE,"Suisun Bay","Fall",8608.92294441274
2012,TRUE,"Suisun Bay","Spring",4075.75965669704
2012,TRUE,"Suisun Bay","Summer",13001.9967916952
2012,TRUE,"Suisun Marsh","Fall",6140.50913611671
2012,TRUE,"Suisun Marsh","Spring",3879.22175161806
